KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,5/1/2023 15:46,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,5.25,21.15,67.6,97.5,43.1,43.1,4.62,-12.1,0.04,95.9,2.8,2.77,62,301.6,0,NA,-58.2,9.849,38.8936,-91.73772,245.8,0,12,738.9
,,,STANDARD DEVIATION:,3.46,13.99,3.8,11,36.7,36.7,3.67,63.2,0.01,10.8,2.21,2.22,7,449.51,0,0.4,22.7,3.091,0,0,0.4,0,0,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,17D109804,17D109804,18D101258,18D101258,18D104462,18D104462,18D104462,22B100947,18D101258,18D101258,17D109804,17D109804,18D101258,18E100544,18E100544,22B100947,22B100947,18D101258,17E100519,17E100519,17E100519,17E100519,17E100519,17E100519
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,ORP mV,Sal psu,SpCond µS/cm,BGA PC RFU,BGA PC ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
4/27/2023,10:33:29,0,440,1.92,7.69,68.3,83.2,98.6,98.6,9.69,73.3,0.04,82.1,0.3,0.26,53,11.12,0,7.78,-86.1,16.186,38.8936,-91.73772,244.9,0,12,739
4/27/2023,10:33:30,0,440,1.85,7.42,68.2,83.1,98.5,98.5,9.68,72.9,0.04,82,0.35,0.31,53,11.16,0,7.78,-86.4,16.216,38.8936,-91.73772,244.9,0,12,738.9
4/27/2023,10:33:31,0,440,1.82,7.28,68.2,83,98.5,98.5,9.67,72.6,0.04,81.8,0.28,0.24,53,10.94,0,7.79,-86.7,16.259,38.8936,-91.73772,245,0,12,738.9
4/27/2023,10:33:32,0,440,1.82,7.28,68.1,82.9,98.4,98.4,9.66,72.6,0.04,81.7,0.25,0.21,53,10.82,0,7.79,-86.7,16.288,38.8936,-91.73772,245.1,0,12,738.9
4/27/2023,10:33:33,0,440,1.96,7.86,68.2,82.9,98.4,98.4,9.65,72.7,0.04,81.8,0.23,0.19,53,10.97,0,7.79,-86.6,16.294,38.8936,-91.73772,245.2,0,12,738.9
