Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,BGA-PC c/mL,Chl RFU,Chl ug/L,PAR1 ppfd,PAR2 ppfd,DEP m
8/28/2019,13:19:35,28.512,749.8,83.7,6.49,253.5,270.5,7.65,196.3,0.26,0.434,0.42,,1.505,6.02,,,0.164
8/28/2019,13:19:36,28.493,749.9,83.6,6.48,253.6,270.5,7.65,196.2,0.27,0.469,0.46,,1.528,6.11,,,0.165
8/28/2019,13:19:37,28.473,749.9,83.5,6.47,253.4,270.3,7.65,196.1,0.24,0.576,0.57,,1.658,6.64,,,0.189
8/28/2019,13:19:38,28.441,749.9,83.4,6.47,253.5,270.1,7.65,196.1,0.18,0.562,0.55,,1.694,6.79,,,0.218
8/28/2019,13:19:39,28.424,749.9,83.3,6.47,253.6,270.2,7.65,196.1,0.16,0.492,0.48,,1.684,6.75,,,0.244
8/28/2019,13:19:40,28.413,749.8,83.3,6.47,253.4,270,7.65,196,0.31,0.52,0.51,,1.789,7.18,,,0.274
8/28/2019,13:19:41,28.403,749.8,83.2,6.46,253.3,269.8,7.65,195.9,0.31,0.514,0.5,,1.812,7.27,,,0.371
8/28/2019,13:19:42,28.393,749.9,83.2,6.46,253.4,269.8,7.65,195.8,0.14,0.577,0.57,,1.764,7.07,,,0.44
8/28/2019,13:19:43,28.39,749.9,83.2,6.47,253.4,269.8,7.65,195.6,0.17,0.61,0.6,,1.774,7.11,,,0.466
8/28/2019,13:19:44,28.362,749.9,83.3,6.47,253.3,269.6,7.65,195.6,0.35,0.604,0.6,,1.918,7.7,,,0.538
8/28/2019,13:19:45,28.309,749.8,83.2,6.47,253.4,269.4,7.65,195.6,0.39,0.633,0.62,,2.026,8.14,,,0.604
8/28/2019,13:19:46,28.317,749.8,83.2,6.47,253.3,269.4,7.65,195.5,0.33,0.613,0.6,,2.039,8.19,,,0.662
8/28/2019,13:19:47,28.322,749.9,83.2,6.47,253.3,269.4,7.65,195.6,0.37,0.574,0.56,,2.051,8.25,,,0.714
8/28/2019,13:19:48,28.319,749.8,83.2,6.48,253.2,269.3,7.65,195.6,0.61,0.608,0.6,,2.071,8.33,,,0.77
