MULakeNumber,parameterType,unit,sensSlope_slope,sensSlope_intercept,sensSlope_pval,sensSlope_df,significance
11,CHL_A_COR,ug/L,-0.5375852272727273,1096.0660308441559,0.042960146028425066,9,*
11,PIM,mg/L,-0.023665845648604265,48.90500821018062,0.18707423011054627,15,
11,POM,mg/L,-0.05911458333333334,122.17630208333335,0.14937517875498976,15,
11,SECCHI,m,-0.011111111111111108,23.627222222222215,0.1031203520734036,16,
11,TN,ug/L,-8.685897435897433,18116.570512820508,0.04081584761596267,16,*
11,TP,ug/L,-0.13140096618357486,294.40458937198065,0.4953662988030887,16,
11,TSS,mg/L,-0.06934829059829062,144.3290918803419,0.0912390290553886,15,
112,CHL_A_COR,ug/L,0.010666666666666677,-19.950333333333354,0.5590142566773567,25,
112,PIM,mg/L,-0.03465909090909091,70.75107954545456,3.7165886208854223e-4,32,*
112,POM,mg/L,0.0025000000000000022,-4.280000000000005,0.6887813388469993,32,
112,SECCHI,m,0.04294117647058826,-82.85661764705887,0.0038391531437867677,32,*
112,TN,ug/L,1.25,-2242.5,0.1726151622796845,32,
112,TP,ug/L,-0.02846648301193756,63.19168962350781,0.2474518547203552,32,
112,TSS,mg/L,-0.022333333333333327,46.69266666666665,0.053957496549772,32,
120,CHL_A_COR,ug/L,0.5003645833333334,-978.4758854166669,0.5480055723613093,5,
120,PIM,mg/L,-0.18113247863247864,366.8515085470085,0.033524165235004726,10,*
120,POM,mg/L,0.019103298611111125,-34.896217013888915,0.7317017232242102,10,
120,SECCHI,m,0.00960069444444444,-18.211493055555547,0.2001281176786023,11,
120,TN,ug/L,-1.612745098039214,4036.90196078431,0.9513521309544037,11,
120,TP,ug/L,-0.5526851851851851,1149.4987962962962,0.2001281176786023,11,
120,TSS,mg/L,-0.12756142065819487,262.7805518084067,0.303673214899419,10,
14,CHL_A_COR,ug/L,0.2043539154792352,-400.70182643709666,0.22413430196016673,14,
14,PIM,mg/L,-0.026388888888888892,54.459722222222226,0.08521008299376036,19,
14,POM,mg/L,0.07887296365914788,-155.8343084273183,0.0059974657137121055,19,*
14,SECCHI,m,-1.9230769230768821e-4,2.0834615384615303,0.9368266041662954,21,
14,TN,ug/L,4.854166666666666,-9191.479166666664,0.013013734768583193,20,*
14,TP,ug/L,0.012345679012345635,-0.4768518518517624,0.9158665384265181,21,
14,TSS,mg/L,0.05345238095238093,-103.21738095238092,0.123549865896804,19,
18,CHL_A_COR,ug/L,0.0075267094017094065,-13.494286858974368,0.7072734240075108,26,
18,PIM,mg/L,-0.013010416666666667,26.58384375,4.169192368515119e-5,35,*
18,POM,mg/L,0.0029006410256410212,-5.04548076923076,0.3804129466250536,35,
18,SECCHI,m,0.030000000000000027,-55.54000000000005,0.042945809005862305,36,*
18,TN,ug/L,1.125,-1955.142424242424,0.10757178337803565,36,
18,TP,ug/L,-0.030701754385964897,67.6816520467836,0.021332141789503167,36,*
18,TSS,mg/L,-0.011742424242424249,24.85606060606062,0.01444670312502951,35,*
21,CHL_A_COR,ug/L,-0.03215686274509804,67.09333333333333,0.3675207382421431,5,
21,PIM,mg/L,-0.05493827160493827,111.30555555555556,0.023987534464426946,11,*
21,POM,mg/L,9.259259259259188e-4,-0.6083333333333192,1,11,
21,SECCHI,m,0.05599240558292283,-109.63556137110018,0.06670115714001273,11,
21,TN,ug/L,-0.4291965352449228,1231.5390979689375,0.2712408863555849,11,
21,TP,ug/L,-0.21401515151515152,440.9469696969697,0.24638736002924658,11,
21,TSS,mg/L,-0.05165544332210999,106.00934343434344,0.03273560958832076,11,*
45,CHL_A_COR,ug/L,-0.012752976190476186,27.41776785714285,0.2514521865080218,7,
45,PIM,mg/L,-0.05237030464359657,106.98357290742385,0.0020052942771015625,15,*
45,POM,mg/L,-0.012786519036519034,26.59746503496503,0.01660782402161185,15,*
45,SECCHI,m,0.024139194139194135,-46.28067765567765,0.015343300192918458,16,*
45,TN,ug/L,-3.3189655172413794,7015.063563218391,0.006387538146755866,16,*
45,TP,ug/L,-0.16033333333333336,333.7648333333334,0.023046552822985004,16,*
45,TSS,mg/L,-0.06321348039215685,129.8649458333333,0.0029936550154211314,15,*
85,CHL_A_COR,ug/L,-0.07455131246046806,154.66820248260595,0.46551216987418653,7,
85,PIM,mg/L,-0.0018817204301075274,5.240456989247313,0.9211586502250249,13,
85,POM,mg/L,0.016666666666666663,-31.86666666666666,0.19711005177131602,13,
85,SECCHI,m,-0.018306451612903223,39.28879032258064,0.3996122962318282,13,
85,TN,ug/L,0.8974358974358967,-1345.3044871794857,0.37305311625145265,13,
85,TP,ug/L,-0.1224137931034483,259.9810344827587,0.16585666034290994,13,
85,TSS,mg/L,0.04239130434782609,-81.82065217391306,0.16585666034290994,13,
